Robot talk
move 1 1
move 2 2
move 3 3
move 4 4
clean 4 4
move 5 5
clean 5 5
move 4 6
move 3 6
clean 3 6
move 4 5
move 5 4
move 6 3
move 6 2
move 6 1
move 6 0
clean 6 0
move 7 1
move 8 2
move 9 3
move 10 4
move 11 5
move 11 6
move 11 7
move 11 8
move 11 9
move 11 10
move 11 11
clean 11 11
move 12 12
move 13 13
move 14 14
move 15 15
move 16 16
move 17 17
move 18 18
move 19 19
move 20 20
move 21 21
move 22 22
move 23 23
move 24 24
move 25 25
move 26 26
move 27 27
move 28 28
move 29 29
move 30 30
move 31 31
move 32 32
move 33 33
move 34 34
move 34 35
move 34 36
move 34 37
move 34 38
move 34 39
move 34 40
move 34 41
move 34 42
move 34 43
move 34 44
move 34 45
move 34 46
move 34 47
move 34 48
move 34 49
move 34 50
move 34 51
move 34 52
move 34 53
move 34 54
move 34 55
move 34 56
move 34 57
move 34 58
move 34 59
move 34 60
move 34 61
move 34 62
move 34 63
move 34 64
move 34 65
move 34 66
move 34 67
clean 34 67
