Robot laugh
move 1 1
move 2 2
move 3 3
clean 3 3
move 4 4
clean 4 4
move 5 5
clean 5 5
move 4 6
move 3 6
clean 3 6
move 4 7
move 5 8
move 6 9
clean 6 9
move 7 10
move 8 11
move 9 11
move 10 11
move 11 11
clean 11 11
move 12 12
clean 12 12
move 11 11
move 10 10
move 9 9
move 8 8
move 7 7
move 6 6
move 6 5
move 6 4
move 6 3
move 6 2
move 6 1
move 6 0
clean 6 0
move 7 1
move 8 1
move 9 1
move 10 1
move 11 1
move 12 1
move 13 1
move 14 1
move 15 1
move 16 1
move 17 1
move 18 1
move 19 1
move 20 1
move 21 1
move 22 1
move 23 1
move 24 1
move 25 1
move 26 1
move 27 1
move 28 1
move 29 1
move 30 1
move 31 1
move 32 1
move 33 1
move 34 1
clean 34 1
move 33 2
move 32 3
move 31 4
move 30 5
move 29 6
move 28 7
move 27 8
move 26 9
move 25 10
move 24 11
move 23 12
move 22 13
move 21 14
move 20 15
move 19 16
move 18 17
move 17 18
move 16 19
move 15 20
move 14 21
move 13 22
move 12 23
move 12 24
move 12 25
move 12 26
move 12 27
move 12 28
move 12 29
move 12 30
move 12 31
move 12 32
move 12 33
clean 12 33
move 13 34
move 14 35
move 15 36
move 16 37
move 17 38
move 18 39
move 19 40
move 20 41
move 21 42
move 22 43
move 23 44
move 24 45
move 25 46
move 26 47
move 27 48
move 28 49
move 29 50
move 30 51
move 31 52
move 32 53
move 33 54
move 34 55
move 34 56
move 34 57
move 34 58
move 34 59
move 34 60
move 34 61
move 34 62
move 34 63
move 34 64
move 34 65
move 34 66
move 34 67
clean 34 67
move 35 66
move 36 65
move 37 64
move 38 63
move 39 62
move 40 61
move 41 60
move 42 59
move 43 58
move 44 57
move 45 56
move 46 55
move 47 54
move 48 53
move 49 52
move 50 51
move 51 50
move 52 49
move 53 48
move 54 47
move 55 46
move 56 45
move 57 44
move 57 43
clean 57 43
move 58 44
move 59 45
move 60 46
move 61 47
move 62 48
move 63 49
move 64 50
move 65 51
move 66 52
move 67 53
move 68 54
move 69 55
move 70 56
move 71 56
move 72 56
move 73 56
move 74 56
move 75 56
move 76 56
move 77 56
move 78 56
move 79 56
move 80 56
move 81 56
move 82 56
move 83 56
move 84 56
move 85 56
move 86 56
move 87 56
clean 87 56
move 87 57
move 87 58
move 87 59
move 87 60
move 87 61
move 87 62
move 87 63
move 87 64
move 87 65
move 87 66
move 87 67
move 87 68
move 87 69
move 87 70
move 87 71
move 87 72
move 87 73
move 87 74
move 87 75
move 87 76
clean 87 76
