Robot balance
move 1 1
move 1 2
move 1 3
move 2 4
move 3 5
move 3 6
move 3 7
move 4 8
clean 4 8
move 5 9
clean 5 9
move 6 8
move 6 7
move 7 6
move 8 5
clean 8 5
move 9 5
move 10 5
move 11 5
move 12 5
move 13 5
clean 13 5
move 13 6
move 13 7
move 13 8
move 13 9
move 13 10
move 13 11
move 14 12
move 15 13
move 16 14
move 17 15
move 17 16
move 17 17
move 17 18
move 17 19
clean 17 19
move 17 20
move 17 21
move 17 22
move 17 23
move 17 24
move 17 25
move 17 26
move 17 27
move 17 28
move 17 29
move 17 30
move 16 31
move 16 32
move 16 33
move 15 34
clean 15 34
move 15 35
move 15 36
move 15 37
move 15 38
move 15 39
move 14 40
move 14 41
move 13 42
move 13 43
move 13 44
move 12 45
clean 12 45
move 13 46
move 14 47
move 15 48
move 16 49
move 17 50
move 18 51
move 19 52
move 20 53
move 21 54
move 22 55
move 23 56
move 24 57
move 25 58
move 26 59
move 27 60
move 28 61
move 29 62
move 29 63
move 30 64
move 30 65
move 30 66
move 31 67
move 31 68
move 32 69
move 32 70
move 33 71
move 33 72
move 34 73
move 34 74
move 34 75
move 35 76
clean 35 76
move 36 75
move 37 74
move 38 73
move 39 72
move 40 71
move 41 70
move 42 69
move 43 68
move 44 67
move 45 66
move 46 65
move 46 64
move 46 63
move 47 62
move 47 61
move 48 60
move 48 59
move 49 58
move 49 57
move 50 56
move 50 55
move 50 54
move 51 53
clean 51 53
