Robot balance
move 1 1
move 2 1
move 3 1
move 4 2
move 4 3
move 4 4
clean 4 4
move 4 5
move 4 6
move 4 7
move 4 8
clean 4 8
move 5 9
clean 5 9
move 6 8
move 6 7
move 7 6
move 8 5
clean 8 5
move 9 5
move 10 5
move 11 5
move 12 5
move 13 5
clean 13 5
move 13 6
move 13 7
move 13 8
move 13 9
move 13 10
move 13 11
move 14 12
move 15 13
move 16 14
move 17 15
move 17 16
move 17 17
move 17 18
move 17 19
clean 17 19
move 17 20
move 17 21
move 17 22
move 17 23
move 17 24
move 17 25
move 17 26
move 17 27
move 17 28
move 17 29
move 17 30
move 16 31
move 16 32
move 16 33
move 15 34
clean 15 34
move 15 35
move 15 36
move 15 37
move 15 38
move 15 39
move 14 40
move 14 41
move 13 42
move 13 43
move 13 44
move 12 45
clean 12 45
move 13 45
move 14 45
move 15 45
move 16 45
move 17 45
move 18 45
move 19 45
move 20 45
move 21 45
move 22 44
move 23 44
move 24 44
move 25 43
move 26 43
move 27 42
move 28 42
move 29 41
move 30 41
move 31 40
move 32 40
move 33 39
move 34 39
move 35 39
move 36 38
move 37 38
move 38 37
move 39 37
move 40 36
move 41 36
move 42 35
move 43 35
move 44 35
move 45 34
clean 45 34
move 46 35
move 47 36
move 48 37
move 49 38
move 50 39
move 51 40
move 51 41
move 51 42
move 52 43
clean 52 43
move 52 44
move 52 45
move 52 46
move 52 47
move 52 48
move 52 49
move 52 50
move 52 51
move 52 52
move 51 53
clean 51 53
move 50 54
move 49 55
move 48 56
move 47 57
move 46 58
move 45 59
move 44 60
move 43 61
move 42 62
move 41 63
move 40 64
move 40 65
move 40 66
move 39 67
move 39 68
move 38 69
move 38 70
move 37 71
move 37 72
move 36 73
move 36 74
move 36 75
move 35 76
clean 35 76
move 36 75
move 37 74
move 38 73
move 39 72
move 40 71
move 41 70
move 42 69
move 43 68
move 44 67
move 45 66
move 46 65
move 47 64
move 48 63
move 49 62
move 50 61
move 51 60
move 52 60
move 53 59
move 54 59
move 55 58
move 56 58
move 57 57
move 58 57
move 59 56
move 60 56
move 61 56
move 62 55
move 63 55
move 64 54
move 65 54
move 66 53
move 67 53
move 68 52
move 69 52
move 70 51
move 71 51
move 72 51
move 73 50
move 74 50
move 75 49
move 76 49
move 77 48
move 78 48
move 79 47
move 80 47
move 81 47
move 82 46
clean 82 46
move 83 45
move 84 44
move 85 43
move 86 42
move 87 41
move 88 40
move 89 39
move 90 39
move 91 38
move 92 38
move 93 38
move 94 37
clean 94 37
