Robot close
move 1 1
move 2 2
move 2 3
move 2 4
clean 2 4
move 2 5
clean 2 5
move 2 6
clean 2 6
move 3 5
clean 3 5
move 4 6
move 5 7
move 6 8
clean 6 8
move 5 9
move 4 10
move 4 11
move 4 12
move 4 13
move 4 14
move 4 15
move 4 16
move 4 17
move 4 18
move 4 19
move 4 20
move 4 21
move 4 22
move 4 23
move 4 24
move 4 25
move 4 26
move 4 27
move 4 28
move 4 29
move 4 30
move 4 31
move 4 32
move 4 33
move 4 34
move 4 35
move 4 36
move 4 37
move 4 38
move 4 39
move 4 40
move 4 41
move 4 42
move 4 43
move 4 44
move 4 45
move 4 46
move 4 47
move 4 48
move 4 49
move 4 50
move 4 51
move 4 52
move 4 53
move 4 54
move 4 55
move 4 56
move 4 57
move 4 58
move 4 59
move 4 60
move 4 61
move 4 62
move 4 63
move 4 64
move 4 65
move 4 66
move 4 67
move 4 68
clean 4 68
move 5 69
move 6 70
move 7 71
move 8 72
move 9 73
move 10 74
move 11 75
move 12 76
move 13 77
move 14 78
move 15 78
move 16 78
move 17 78
move 18 78
move 19 78
move 20 78
move 21 78
move 22 78
move 23 78
move 24 78
clean 24 78
move 23 77
move 22 76
move 21 75
move 20 74
move 19 73
move 18 72
move 17 71
move 16 70
move 15 69
move 14 68
move 13 67
move 12 66
move 11 65
move 10 64
move 9 63
move 8 62
move 7 61
move 6 60
move 5 59
move 4 58
move 3 57
move 2 56
move 1 55
move 1 54
move 1 53
move 1 52
move 1 51
move 1 50
move 1 49
move 1 48
move 1 47
move 1 46
move 1 45
move 1 44
move 1 43
move 1 42
move 1 41
move 1 40
move 1 39
move 1 38
move 1 37
move 1 36
move 1 35
move 1 34
move 1 33
move 1 32
move 1 31
move 1 30
move 1 29
move 1 28
move 1 27
move 1 26
move 1 25
move 1 24
move 1 23
move 1 22
move 1 21
move 1 20
move 1 19
move 1 18
move 1 17
move 1 16
move 1 15
move 1 14
move 1 13
move 1 12
move 1 11
move 1 10
move 1 9
move 1 8
move 1 7
move 1 6
move 1 5
move 1 4
move 1 3
move 1 2
move 1 1
move 1 0
rest 

Robot far
rest

Robot bal
rest
