Robot close
move 1 1
move 2 2
move 2 3
move 2 4
clean 2 4
move 2 5
clean 2 5
move 3 5
clean 3 5
move 4 6
move 5 7
move 6 8
clean 6 8
move 7 9
move 8 10
move 9 11
move 10 12
move 11 13
move 12 14
move 13 15
move 13 16
move 13 17
move 13 18
clean 13 18
move 14 18
move 15 18
move 16 18
move 17 18
clean 17 18
move 16 19
move 16 20
move 16 21
move 16 22
move 16 23
clean 16 23
move 17 24
move 18 25
move 19 26
move 20 27
move 21 28
move 22 29
move 23 30
move 24 31
move 24 32
move 24 33
move 24 34
clean 24 34
move 25 35
move 26 36
move 26 37
move 26 38
move 26 39
move 26 40
move 26 41
move 26 42
move 26 43
move 26 44
move 26 45
move 26 46
clean 26 46
move 25 47
move 24 48
move 23 49
move 22 50
move 21 51
move 20 52
move 19 53
move 18 54
move 17 55
move 16 56
move 15 57
move 14 58
move 13 59
move 12 60
move 11 61
move 10 62
move 9 63
move 8 64
move 7 65
move 6 66
move 5 67
move 4 68
clean 4 68
move 5 69
move 6 70
move 7 71
move 8 72
move 9 73
move 10 74
move 11 75
move 12 76
move 13 77
move 14 78
move 15 78
move 16 78
move 17 78
move 18 78
move 19 78
move 20 78
move 21 78
move 22 78
move 23 78
move 24 78
clean 24 78
move 25 79
move 26 80
move 27 81
move 28 82
move 29 83
move 30 84
move 31 85
move 32 86
move 33 87
move 34 88
move 35 88
clean 35 88
move 36 87
move 37 86
move 38 85
move 39 84
move 40 83
move 41 82
move 42 81
move 43 80
move 44 79
move 45 78
move 46 77
move 47 76
move 48 75
move 49 74
move 50 74
move 51 74
move 52 74
move 53 74
move 54 74
move 55 74
move 56 74
move 57 74
move 58 74
move 59 74
move 60 74
move 61 74
move 62 74
move 63 74
move 64 74
move 65 74
move 66 74
move 67 74
move 68 74
move 69 74
move 70 74
move 71 74
clean 71 74
move 70 73
move 69 72
move 68 71
move 67 70
move 66 69
move 65 68
move 64 67
move 63 66
move 62 65
move 61 64
move 60 63
move 60 62
move 60 61
move 60 60
move 60 59
move 60 58
move 60 57
move 60 56
move 60 55
move 60 54
move 60 53
move 60 52
move 60 51
move 60 50
move 60 49
move 60 48
move 60 47
move 60 46
move 60 45
move 60 44
move 60 43
move 60 42
clean 60 42
move 61 41
move 62 40
move 63 39
move 64 38
move 65 37
move 66 36
move 67 35
move 68 34
move 69 34
move 70 34
move 71 34
move 72 34
move 73 34
move 74 34
move 75 34
move 76 34
move 77 34
move 78 34
move 79 34
move 80 34
move 81 34
move 82 34
move 83 34
move 84 34
move 85 34
move 86 34
move 87 34
move 88 34
move 89 34
move 90 34
move 91 34
move 92 34
move 93 34
move 94 34
move 95 34
clean 95 34
move 94 33
move 93 32
move 92 31
move 91 30
move 90 29
move 89 28
move 88 27
move 87 26
move 86 25
move 85 24
move 84 23
move 83 22
move 82 21
move 81 20
move 80 19
move 79 18
move 78 17
move 77 16
move 76 15
move 75 14
move 74 13
move 73 12
move 72 11
move 71 10
move 70 9
move 69 8
move 68 8
move 67 8
move 66 8
move 65 8
move 64 8
move 63 8
move 62 8
move 61 8
move 60 8
move 59 8
move 58 8
move 57 8
move 56 8
move 55 8
move 54 8
move 53 8
move 52 8
move 51 8
move 50 8
move 49 8
move 48 8
move 47 8
move 46 8
move 45 8
move 44 8
move 43 8
move 42 8
move 41 8
move 40 8
move 39 8
move 38 8
move 37 8
move 36 8
move 35 8
move 34 8
move 33 8
move 32 8
move 31 8
move 30 8
move 29 8
move 28 8
move 27 8
clean 27 8
move 26 7
move 25 6
move 24 5
move 23 4
move 22 3
move 21 2
move 20 1
move 19 0
move 18 0
move 17 0
move 16 0
move 15 0
move 14 0
move 13 0
move 12 0
move 11 0
move 10 0
move 9 0
move 8 0
move 7 0
move 6 0
move 5 0
move 4 0
move 3 0
move 2 0
move 1 0
rest 

Robot far
rest

Robot bal
rest
